#NODE_ID        #CS_NUM        #Action        #Time of the action
0                    0        Entering        2014/04/02 15:08:45
0                    0        Leaving        2014/04/02 15:08:45
0                    1        Entering        2014/04/02 15:08:45
0                    1        Leaving        2014/04/02 15:08:45
0                    2        Entering        2014/04/02 15:08:45
0                    2        Leaving        2014/04/02 15:08:45
0                    3        Entering        2014/04/02 15:08:46
0                    3        Leaving        2014/04/02 15:08:46
0                    4        Entering        2014/04/02 15:08:46
0                    4        Leaving        2014/04/02 15:08:46
0                    5        Entering        2014/04/02 15:08:46
0                    5        Leaving        2014/04/02 15:08:46
0                    6        Entering        2014/04/02 15:08:46
0                    6        Leaving        2014/04/02 15:08:46
1                    0        Entering        2014/04/02 15:08:46
1                    0        Leaving        2014/04/02 15:08:46
0                    7        Entering        2014/04/02 15:08:46
0                    7        Leaving        2014/04/02 15:08:46
1                    1        Entering        2014/04/02 15:08:46
1                    1        Leaving        2014/04/02 15:08:46
0                    8        Entering        2014/04/02 15:08:46
0                    8        Leaving        2014/04/02 15:08:46
1                    3        Entering        2014/04/02 15:08:46
1                    3        Leaving        2014/04/02 15:08:46
0                    9        Entering        2014/04/02 15:08:46
0                    9        Leaving        2014/04/02 15:08:46
1                    4        Entering        2014/04/02 15:08:46
1                    4        Leaving        2014/04/02 15:08:46
1                    5        Entering        2014/04/02 15:08:46
1                    5        Leaving        2014/04/02 15:08:46
0                    10        Entering        2014/04/02 15:08:46
0                    10        Leaving        2014/04/02 15:08:46
1                    6        Entering        2014/04/02 15:08:46
1                    6        Leaving        2014/04/02 15:08:46
1                    7        Entering        2014/04/02 15:08:46
1                    7        Leaving        2014/04/02 15:08:46
0                    11        Entering        2014/04/02 15:08:46
0                    11        Leaving        2014/04/02 15:08:46
1                    8        Entering        2014/04/02 15:08:46
1                    8        Leaving        2014/04/02 15:08:46
0                    12        Entering        2014/04/02 15:08:46
0                    12        Leaving        2014/04/02 15:08:46
1                    9        Entering        2014/04/02 15:08:46
1                    9        Leaving        2014/04/02 15:08:46
2                    0        Entering        2014/04/02 15:08:47
2                    0        Leaving        2014/04/02 15:08:47
3                    12        Entering        2014/04/02 15:08:48
3                    12        Leaving        2014/04/02 15:08:48
3                    2        Entering        2014/04/02 15:08:48
3                    2        Leaving        2014/04/02 15:08:48
3                    13        Entering        2014/04/02 15:08:48
3                    13        Leaving        2014/04/02 15:08:48
3                    0        Entering        2014/04/02 15:08:48
3                    0        Leaving        2014/04/02 15:08:48
3                    6        Entering        2014/04/02 15:08:48
3                    6        Leaving        2014/04/02 15:08:48
3                    10        Entering        2014/04/02 15:08:48
3                    10        Leaving        2014/04/02 15:08:48
3                    5        Entering        2014/04/02 15:08:48
3                    5        Leaving        2014/04/02 15:08:48
3                    9        Entering        2014/04/02 15:08:48
3                    9        Leaving        2014/04/02 15:08:48
3                    4        Entering        2014/04/02 15:08:48
3                    4        Leaving        2014/04/02 15:08:48
3                    3        Entering        2014/04/02 15:08:48
3                    3        Leaving        2014/04/02 15:08:48
3                    8        Entering        2014/04/02 15:08:48
3                    8        Leaving        2014/04/02 15:08:48
3                    1        Entering        2014/04/02 15:08:48
3                    1        Leaving        2014/04/02 15:08:48
3                    11        Entering        2014/04/02 15:08:48
3                    11        Leaving        2014/04/02 15:08:48
3                    7        Entering        2014/04/02 15:08:48
3                    7        Leaving        2014/04/02 15:08:48
4                    3        Entering        2014/04/02 15:08:48
4                    3        Leaving        2014/04/02 15:08:48
4                    13        Entering        2014/04/02 15:08:48
4                    13        Leaving        2014/04/02 15:08:48
4                    6        Entering        2014/04/02 15:08:48
4                    6        Leaving        2014/04/02 15:08:48
4                    4        Entering        2014/04/02 15:08:48
4                    4        Leaving        2014/04/02 15:08:48
4                    1        Entering        2014/04/02 15:08:48
4                    1        Leaving        2014/04/02 15:08:48
4                    10        Entering        2014/04/02 15:08:48
4                    10        Leaving        2014/04/02 15:08:48
4                    12        Entering        2014/04/02 15:08:48
4                    12        Leaving        2014/04/02 15:08:48
4                    8        Entering        2014/04/02 15:08:48
4                    8        Leaving        2014/04/02 15:08:48
4                    14        Entering        2014/04/02 15:08:48
4                    14        Leaving        2014/04/02 15:08:48
4                    2        Entering        2014/04/02 15:08:48
4                    2        Leaving        2014/04/02 15:08:48
4                    0        Entering        2014/04/02 15:08:48
4                    0        Leaving        2014/04/02 15:08:48
4                    11        Entering        2014/04/02 15:08:48
4                    11        Leaving        2014/04/02 15:08:48
4                    7        Entering        2014/04/02 15:08:48
4                    7        Leaving        2014/04/02 15:08:48
4                    15        Entering        2014/04/02 15:08:48
4                    15        Leaving        2014/04/02 15:08:48
4                    9        Entering        2014/04/02 15:08:48
4                    9        Leaving        2014/04/02 15:08:48
4                    5        Entering        2014/04/02 15:08:48
4                    5        Leaving        2014/04/02 15:08:48
